,pax_number
0,0.0
1,236.0
2,590.0
3,590.0
4,354.0
5,354.0
6,0.0
7,590.0
8,39.0
9,0.0
10,409.0
11,0.0
12,590.0
13,34.0
14,590.0
15,531.0
16,354.0
17,354.0
18,55.0
19,580.0
20,590.0
21,0.0
22,0.0
23,0.0
24,107.0
25,590.0
26,590.0
27,590.0
28,589.0
29,0.0
30,295.0
31,118.0
32,0.0
33,0.0
34,590.0
35,0.0
36,0.0
37,0.0
38,0.0
39,577.0
40,0.0
41,354.0
42,583.0
43,161.0
44,0.0
45,0.0
46,0.0
47,0.0
48,0.0
49,0.0
50,531.0
51,0.0
52,354.0
53,0.0
54,514.0
55,0.0
56,413.0
57,0.0
58,0.0
59,49.0
60,590.0
61,59.0
62,590.0
63,0.0
64,590.0
65,354.0
66,0.0
67,354.0
68,118.0
69,590.0
70,590.0
71,590.0
72,0.0
73,0.0
74,0.0
75,576.0
76,0.0
77,0.0
78,590.0
79,586.0
80,0.0
81,590.0
82,0.0
83,0.0
84,590.0
85,177.0
86,49.0
87,289.0
88,0.0
89,590.0
90,0.0
91,398.0
92,590.0
93,0.0
94,0.0
95,0.0
96,0.0
97,472.0
98,590.0
99,0.0
